mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-03-18 10:00:23.975971072,-74.9,-109.32,1278.0,144.0,-1213.0,138.3,403.0,190.0,5,S,1A,3031
2019-01-28 10:00:12.509625856,-74.9,-109.32,1134.0,110.0,-1100.0,107.7,275.0,145.9,5,S,1A,3031
2019-10-31 10:00:21.458768896,-74.9,-109.32,1430.0,135.0,-1298.0,122.4,601.0,182.6,5,S,1A,3031
2021-10-18 04:36:29.191486976,-74.9,-109.32,1292.0,65.0,-1196.0,60.5,489.0,89.4,6,S,1B,3031
2019-12-13 15:14:45.075109120,-74.9,-109.32,1325.0,13.0,-1227.0,13.3,502.0,13.9,99,S,2B,3031
2021-12-19 05:09:09.289953792,-74.9,-109.32,1348.0,138.0,-1316.0,138.4,290.0,125.5,5,S,1A,3031
2022-01-24 15:24:41.075109120,-74.9,-109.32,1333.0,30.0,-1267.0,29.6,415.0,28.5,39,S,2B,3031
2021-03-02 15:14:47.075109120,-74.9,-109.32,1389.0,70.0,-1293.0,68.6,507.0,80.2,10,S,2B,3031
2018-11-24 04:36:30.980165888,-74.9,-109.32,1291.0,55.0,-1204.0,52.9,466.0,67.6,11,S,1A,3031
2018-12-27 04:36:09.005941248,-74.9,-109.32,1341.0,71.0,-1225.0,59.4,545.0,114.5,5,S,1A,3031
2018-02-03 04:35:40.042462976,-74.9,-109.32,1336.0,66.0,-1248.0,62.3,476.0,87.2,11,S,1B,3031
2020-01-15 04:36:14.516509952,-74.9,-109.32,1361.0,53.0,-1223.0,44.7,596.0,79.5,5,S,1A,3031
2020-01-27 04:36:14.140062976,-74.9,-109.32,1357.0,66.0,-1196.0,49.4,640.0,106.2,5,S,1A,3031
2021-02-08 04:36:19.741450240,-74.9,-109.32,1289.0,75.0,-1142.0,61.1,597.0,112.0,6,S,1B,3031
2021-07-16 10:00:29.937331968,-74.9,-109.32,1208.0,175.0,-1119.0,166.8,453.0,218.4,5,S,1A,3031
2018-09-16 04:36:10.055729920,-74.9,-109.32,1295.0,81.0,-1210.0,70.9,462.0,132.2,6,S,1B,3031
2021-01-21 04:36:20.305067008,-74.9,-109.32,1288.0,55.0,-1141.0,41.0,598.0,90.2,5,S,1A,3031
2021-03-12 05:09:01.308667904,-74.9,-109.32,1400.0,107.0,-1323.0,108.6,457.0,95.1,6,S,1B,3031
2022-01-25 15:23:00.421384960,-74.9,-109.32,1354.0,62.0,-1262.0,61.4,490.0,68.4,16,L,9.0,3031
2022-01-07 04:36:47.443003904,-74.9,-109.32,1296.0,61.0,-1212.0,57.1,460.0,84.0,11,S,1A,3031
2020-11-24 10:00:27.370262016,-74.9,-109.32,1251.0,137.0,-1179.0,131.1,418.0,175.9,6,S,1B,3031
2021-10-12 04:36:29.101488128,-74.9,-109.32,1343.0,61.0,-1238.0,54.5,522.0,88.6,5,S,1A,3031
2021-03-06 05:09:01.257955072,-74.9,-109.32,1384.0,111.0,-1368.0,111.7,207.0,83.1,5,S,1A,3031
2016-12-07 04:36:17.064667136,-74.9,-109.32,1462.0,415.0,-1359.0,440.0,539.0,193.5,6,S,1B,3031
2018-02-27 04:35:39.694615040,-74.9,-109.32,1281.0,48.0,-1202.0,45.3,444.0,62.7,12,S,1B,3031
2021-08-03 05:09:08.430390016,-74.9,-109.32,1316.0,135.0,-1268.0,138.2,355.0,83.4,6,S,1B,3031
2021-08-03 10:00:31.051162112,-74.9,-109.32,1325.0,125.0,-1254.0,118.0,430.0,172.2,6,S,1B,3031
