Season,Velocity [m/yr.],Std,n,t,Uncertainty [m/yr.],,,,,
2001-02,597.5,78.3,49,2.571,29.1,,,,,
2002-03,531.7,150,49,2.447,53.0,,,,,
2003-04,401.5,104.6,49,2.262,34.2,,,,,
2004-05,551.8,214.8,49,2.447,75.9,,,,,
2005-06,606.2,123.7,49,2.447,43.7,,,,,
2006-07,386.7,106.9,49,2.201,34.0,,,,,
2007-08,603.4,68.3,49,2.093,20.6,,,,,
2008-09,588.3,71.5,49,2.201,22.7,,,,,
2009-10,606.5,61.5,49,2.06,18.3,,,,,
2010-11,484.5,125.7,49,2.145,38.9,,,,,
2011-12,549.2,59.2,49,2.11,18.0,,,,,
2012-13,508.1,77.9,49,2.12,23.8,,,,,
2013-14,490.8,69.1,49,2.11,21.0,,,,,
2014-15,453.9,62.6,49,2.12,19.2,,,,,
2015-16,633.4,88.2,49,2.262,28.8,,,,,
2016-17,439.7,87.1,49,2.201,27.7,,,,,
2017-18,429.9,144.3,49,2.306,48.0,,,,,
2018-19,482,82.3,49,2.12,25.2,,,,,
2019-20,254.4,106.3,49,2.262,34.7,,,,,
2020-21,571,102.1,49,2.306,34.0,,,,,
2021-22,412.7,127.8,49,2.16,39.8,,,,,
