Season,Velocity [m/yr.],Std,n,t,Uncertainty [m/yr.]
2001-02,688.9,93,49,2.571,34.5
2002-03,821,80.1,49,2.447,28.3
2003-04,868.7,124.3,49,2.262,40.6
2004-05,786.4,192.5,49,2.447,68
2005-06,843.3,144.6,49,2.447,51.1
2006-07,320.8,109.9,49,2.201,34.9
2007-08,785,71.9,49,2.093,21.7
2008-09,807.2,75.9,49,2.201,24.1
2009-10,900.1,91.2,49,2.06,27.1
2010-11,1115.7,197.3,49,2.145,61.1
2011-12,782.3,110.8,49,2.11,33.7
2012-13,931.7,115.6,49,2.12,35.4
2013-14,785.1,23.3,49,2.11,7.1
2014-15,715.7,54.4,49,2.12,16.6
2015-16,909.4,82.8,49,2.262,27
2016-17,688.2,154,49,2.201,48.9
2017-18,731.6,96,49,2.306,32
2018-19,1002.1,97.7,49,2.12,29.9
2019-20,640,107.3,49,2.262,35
2020-21,808.5,166.5,49,2.306,55.4
2021-22,735.5,100.3,49,2.16,31.3
