Season,Velocity [m/yr.],Std,n,t,Uncertainty [m/yr.],,,,,
2001-02,1263.2,63,49,2.571,23.4,,,,,
2002-03,1712.1,352,49,2.447,124.3,,,,,
2003-04,909,91.2,49,2.262,29.8,,,,,
2004-05,875.6,150,49,2.447,53.0,,,,,
2005-06,1160,140.5,49,2.447,49.6,,,,,
2006-07,776.6,113.2,49,2.201,36.0,,,,,
2007-08,919.8,48.5,49,2.093,14.7,,,,,
2008-09,1003.2,75.1,49,2.201,23.9,,,,,
2009-10,1097.9,154.4,49,2.06,45.9,,,,,
2010-11,1249.5,69,49,2.145,21.4,,,,,
2011-12,1278.3,53.1,49,2.11,16.2,,,,,
2012-13,1131.1,41.4,49,2.12,12.7,,,,,
2013-14,1048.3,39.5,49,2.11,12.0,,,,,
2014-15,1049.7,38.4,49,2.12,11.8,,,,,
2015-16,1258.2,41.3,49,2.262,13.5,,,,,
2016-17,1012.8,48.5,49,2.201,15.4,,,,,
2017-18,1185.2,61.3,49,2.306,20.4,,,,,
2018-19,1073.6,41.5,49,2.12,12.7,,,,,
2019-20,960.4,81.1,49,2.262,26.5,,,,,
2020-21,1037.2,39.2,49,2.306,13.0,,,,,
2021-22,929,65.7,49,2.16,20.5,,,,,
