Season,Velocity [m/yr.],Std,n,t,Uncertainty [m/yr.],,,,,
2001-02,2624,370.8,49,2.571,137.6,,,,,
2002-03,2744.9,226.4,49,2.447,80.0,,,,,
2003-04,2699.7,116.7,49,2.262,38.1,,,,,
2004-05,3391.8,488.1,49,2.447,172.4,,,,,
2005-06,3228.8,200.3,49,2.447,70.7,,,,,
2006-07,2228.5,374.5,49,2.201,119.0,,,,,
2007-08,3282.5,165.4,49,2.093,50.0,,,,,
2008-09,3432.8,143.4,49,2.201,45.6,,,,,
2009-10,3221.8,86.6,49,2.06,25.7,,,,,
2010-11,3598.6,225.8,49,2.145,69.9,,,,,
2011-12,3302.5,171.1,49,2.11,52.1,,,,,
2012-13,3215.6,152.5,49,2.12,46.7,,,,,
2013-14,3411,83.2,49,2.11,25.3,,,,,
2014-15,3477.7,72.2,49,2.12,22.1,,,,,
2015-16,3517.9,191.5,49,2.262,62.5,,,,,
2016-17,3332.4,200.5,49,2.201,63.7,,,,,
2017-18,3307.8,277.5,49,2.306,92.4,,,,,
2018-19,3505.6,157.3,49,2.12,48.1,,,,,
2019-20,4058.2,207.3,49,2.262,67.7,,,,,
2020-21,4324.2,58.7,49,2.306,19.5,,,,,
2021-22,4275.3,141.5,49,2.16,44.1,,,,,
