Season,Velocity [m/yr.],Std,n,t,Uncertainty [m/yr.],,,,,
2001-02,2526.2,92.7,49,2.571,34.4,,,,,
2002-03,2811.6,148.6,49,2.447,52.5,,,,,
2003-04,2611.8,131.8,49,2.262,43.0,,,,,
2004-05,3019.8,249.1,49,2.447,88.0,,,,,
2005-06,3078.7,245.7,49,2.447,86.8,,,,,
2006-07,2946.6,231.3,49,2.201,73.5,,,,,
2007-08,3401.8,101,49,2.093,30.5,,,,,
2008-09,3731.4,96.5,49,2.201,30.7,,,,,
2009-10,3660.4,49,49,2.06,14.6,,,,,
2010-11,3461.5,137.3,49,2.145,42.5,,,,,
2011-12,3696.8,61.8,49,2.11,18.8,,,,,
2012-13,3663.2,106.9,49,2.12,32.7,,,,,
2013-14,3862.9,51.3,49,2.11,15.6,,,,,
2014-15,3830.5,75.8,49,2.12,23.2,,,,,
2015-16,3780.7,103.2,49,2.262,33.7,,,,,
2016-17,3503,255.1,49,2.201,81.0,,,,,
2017-18,3514.2,295,49,2.306,98.2,,,,,
2018-19,4109.3,146.7,49,2.12,44.9,,,,,
2019-20,3313,676.2,49,2.262,220.8,,,,,
2020-21,3907.9,637.1,49,2.306,212.1,,,,,
2021-22,4374.8,238.3,49,2.16,74.3,,,,,
