Season,Velocity [m/yr.],Std,n,t,Uncertainty [m/yr.],,"SIA anomaly, PIB"
2001-02,619,619,49,2.571,230,,
2002-03,577,142,49,2.447,50,,-8383
2003-04,628,126,49,2.262,41,,6943
2004-05,786,260,49,2.447,92,,4760
2005-06,972,145,49,2.447,51,,7291
2006-07,797,353,49,2.201,112,,4286
2007-08,515,78,49,2.093,24,,-6131
2008-09,394,197,49,2.201,63,,-8049
2009-10,247,64,49,2.06,19,,-14323
2010-11,572,315,49,2.145,98,,-6302
2011-12,325,94,49,2.11,29,,11770
2012-13,342,87,49,2.12,27,,-6544
2013-14,391,73,49,2.11,22,,-4241
2014-15,354,78,49,2.12,24,,3798
2015-16,455,92,49,2.262,30,,3739
2016-17,283,107,49,2.201,34,,-13789
2017-18,441,125,49,2.306,41,,7723
2018-19,395,86,49,2.12,26,,1176
2019-20,521,112,49,2.262,37,,3488
2020-21,518,54,49,2.306,18,,5404
2021-22,579,84,49,2.16,26,,7384
