Season,Velocity [m/yr.],Std,n,t,Uncertainty [m/yr.],,"SIA anomaly, PIB"
2001-02,343,177,42,2.571,71,,
2002-03,275,137,42,2.447,52,,-8383
2003-04,334,150,42,2.262,53,,6943
2004-05,332,123,42,2.447,47,,4760
2005-06,729,181,42,2.447,69,,7291
2006-07,457,165,42,2.201,57,,4286
2007-08,233,110,42,2.093,36,,-6131
2008-09,165,52,42,2.201,18,,-8049
2009-10,149,69,42,2.06,22,,-14323
2010-11,248,131,42,2.145,44,,-6302
2011-12,125,55,42,2.11,18,,11770
2012-13,152,72,42,2.12,24,,-6544
2013-14,193,66,42,2.11,22,,-4241
2014-15,156,67,42,2.12,22,,3798
2015-16,101,46,42,2.262,16,,3739
2016-17,242,94,42,2.201,32,,-13789
2017-18,337,179,42,2.306,64,,7723
2018-19,156,86,42,2.12,28,,1176
2019-20,467,157,42,2.262,55,,3488
2020-21,305,65,42,2.306,23,,5404
2021-22,290,73,42,2.16,25,,7384
